EMISSIONI GHG;null;2023 Total;2023 of which fully consolidated entieties;2022 Total;2021 Total
EMISSIONI GHGEMISSIONI GHG;;;;;
Direct GHG emissions (Scope 1);(million tonnes CO,eq.);38.69;21.53;39.39;40.08
Direct GHG emissions (Scope 1) by type of source;;;;;
of which: CO, equivalent from combustion and process;;28.67;18.62;29.77;30.58
of which: CO, equivalent from flaring;;6.81;2.39;6.71;7.14
of which: CO, equivalent from venting;;3.04;0.45;272;2.12
of which: CO, equivalent from methane fugitive emissions;;0.17;0.08;0.2;0.24
Carbon efficiency index (Scope 1 and 2);(tonnes CO,eq./thousand boe);31.90;48.79;32.67;31.95
Direct GHG emissions (Scope 1)/100% operated hydrocarbon gross production (Upstream);;20.69;21.72;20.64;20.19
Direct GHG emissions (Scope 1)/Equivalent electricity produced (Enipower);(gCO,eq./kWheq);389.0;388.7;392.9;379.6
mower) emissions (Scope 1)/Refinery throughputs (raw and semi-finished;of CO,eq./thousand of tonnes);232;232;233;298
Direct methane emissions (Scope 1);(thousands of tonnes of CH,);39.1;16.6;49.6;54.5
of which: fugitive upstream;;6.0;20;7.2;9.2
Upstream methane emission intensity;(percentage);0.06;;0.08;0.09
Volumes of hydrocarbon sent to flaring;(billion Sm*);241;;21;2.2
of which: Upstream routine;;1.0;;11;1.2
Indirect GHG emissions (Scope 2);(million tonnes CO,eq.);0.73;0.52;0.79;0.81
Indirect GHG emissions (Scope 3) from use of sold products;;174;;164;176
Net GHG Emissions (Scope 1+2+3);;200;;194;210
ENERGY;;;;;
Electricity produced from renewable sources;(GWh);4.242;3.624;2.836;1.166
Primary source consumption;(millions of GJ);497.5;316.2;484.4;529.1
of which: natural/fuel gas;;413.9;237.1;395.1;429.0
of which: other primary sources;;83.6;79.1;89.3;100.1
Primary energy purchased from other companies;;17.1;13.4;17.6;217
of which: electricity;;15.0;11.3;15.1;18.3
of which: other sources;;20;20;25;34
Hydrogen consumption;;1.6;1.6;13;V7
Total energy consumption;;516.2;331.1;503.2;$52.5
Energy consumption from renewable sources;;1.3;1.3;1.2;15
of which: electricity from photovoltaics;;0.1;0.1;0.03;0.6
of which: biomass;;1.2;1.2;11;09
Export of electricity to other companies;;192.7;173.2;1778;183.0
Export of heat and steam to other companies;;5.2;47;57;5.4
Energy Intensity Index (refineries);(percentage);123.0;123.0;115.5;116.4
SD Rete activities/100% operated hydrocarbon;(Gu/toe);1.45;AL;1.41;1.45
Net consumption of primary resources/Equivalent electricity produced (Enipower);(toe/MWheq);0.16;0.16;0.18;0.16
PRODUCTION OF BIOFUELS;;;;;
Sold production of biofuels (ktonnes);635;;428;585;
R&S;;;;;
