Indicators;Units;2023;2022;2021;2020
Estimated coverage (% energy consumption);%;95%;95%;95%;96%
ISO 50001 certified sites;#;128;132;140;150
Estimated total energy consumption;MWh;1124327;1201276;1325491;1216845
of which measured energy consumption;MWh;934805;979497;1080366;1034003
of which estimated energy consumption for sites out of reporting perimeter;MWh;189522;221779;245125;182842
Estimated total energy consumption/turnover;MWh/million €;31.3;35.1;45.9;48.3
Estimated total energy productivity;€/MWh;31932;28450;21803;20709
Estimated total improvement in energy productivity vs 2005;%;157.3%;129.3%;75.7%;66.9%
Estimated total energy consumption from renewable sources;MWh;707033;688474;670287;NaN
Estimated total percentage of renewable energy;%;62.9%;57.3%;50.6%;NaN
Estimated total energy consumption from non-renewable sources;MWh;417294;512802;655204;NaN
Estimated total percentage of non renewable energy;%;371%;42.7%;49.4%;NaN
Measured energy consumption by source;MWh;NaN;NaN;NaN;NaN
grid electricity;MWh;82590;108263;132771;148969
purchased renewable electricity;MWh;610614;588851;612752;585495
self generated renewable electricity;MWh;23194;20719;15861;12464
district heating;MWh;14736;24519;33830;27602
fuel oil;MWh;12991;6520;6967;6941
gas;MWh;190088;229552;276954;251377
coal;MWh;0;0;0;0
renewable fuel and heat;MWh;593;1073;1231;1155
