Reference;1990;2021;2022;2023;Unit;202
Consumption of renewable energy;0;91;10.7;12.3;%;
Specific energy consumption - Cement;4186;3093;3037;2981;MJ/t;oe
- Thereof clinker production;4359;3859;3880;3864;MJ/t;oe
- Aggregates;;31.6;34.8;41.0;MJ/t;
Fuel mix for clinker production;;;;;;
- Hard coal;52.5;41.7;37.3;34.5;%;oe
- Lignite;0.0;19;1.9;1.4;%;oe
- Petroleum coke;8.6;18.9;20.9;20.9;%;oe
- Natural gas;17.1;10.6;10.8;12.9;%;oe
- Light fuel oil;0.6;0.2;0.2;0.1;%;oe
- Heavy fuel oil;16.0;0.2;0.3;0.2;%;oe
- Other fossil fuels;2.2;0.0;0.0;0.0;%;oe
- Alternative fossil fuels;2.8;15.4;16.1;16.7;%;oe
- Biomass;0.2;11.2;12.6;13.2;%;oe
- Proportion of biomass in mix of alternative fuels;6.3;42.0;43.8;44.1;%;
Alternative fuel mix for clinker production;;;;;;
- RDF;1.6;26.1;26.0;26.9;%;oe
- Waste oil;29.0;2.6;1.9;21;%;oe
- Used tyres;17.1;9.8;8.9;74;%;
- Solvents;30.8;6.8;6.0;5.0;%;oe
- Dried sewage sludge;0.0;17;1.6;1.5;%;oe
- Meat and bone meal;0.0;3.2;3.3;3.1;%;oe
- Agricultural waste and waste wood;0.0;93;10.4;11.9;%;oe
- Other biomass;6.3;27.8;28.5;27.7;%;oe
- Other alternative fuels;15.1;12.8;13.3;14.5;%;oe
Alternative fuel rate (incl. biomass);3.0;26.4;28.7;29.9;%;ec
Clinker content in cementitious material;82.0;72.9;71.6;70.2;%;Cx
Proportion of alternative raw materials;;;;;;
- Clinker;;3.8;4.0;4.1;%;oe
- Cement;;9.8;10.6;11.0;%;oe
